"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","307","Создание курьера без обязательных полей","tests","2025-11-22","passed","2025-11-22","TestCreateCourier","test_courier_rega","",""
"","639","Создание курьера успешно","tests","2025-11-22","passed","2025-11-22","TestCreateCourier","test_courier_rega","",""
"","648","Создание курьера без firstName","tests","2025-11-22","passed","2025-11-22","TestCreateCourier","test_courier_rega","",""
"","332","Создание курьера без обязательных полей","tests","2025-11-22","passed","2025-11-22","TestCreateCourier","test_courier_rega","",""
"","316","Создание заказа с цветом","tests","2025-11-22","passed","2025-11-22","TestCreateOrder","test_create_order","",""
"","673","Получение заказов с существующим courierId","tests","2025-11-22","skipped","2025-11-22","TestGetOrders","test_get_order","",""
"","339","Успешный логин курьера","tests","2025-11-22","passed","2025-11-22","TestLoginCourier","test_courier_login","",""
"","664","Логин под несуществующим пользователем","tests","2025-11-22","passed","2025-11-22","TestLoginCourier","test_courier_login","",""
"","296","Создание курьера без обязательных полей","tests","2025-11-22","passed","2025-11-22","TestCreateCourier","test_courier_rega","",""
"","327","Создание заказа с цветом","tests","2025-11-22","passed","2025-11-22","TestCreateOrder","test_create_order","",""
"","322","Логин без поля login","tests","2025-11-22","passed","2025-11-22","TestLoginCourier","test_courier_login","",""
"","9689","Получение списка заказов успешно","tests","2025-11-22","passed","2025-11-22","TestGetOrders","test_get_order","",""
"","358","Создание заказа с цветом","tests","2025-11-22","passed","2025-11-22","TestCreateOrder","test_create_order","",""
"","60484","Логин без поля password","tests","2025-11-22","skipped","2025-11-22","TestLoginCourier","test_courier_login","",""
"","7900","Получение списка заказов успешно","tests","2025-11-22","passed","2025-11-22","TestGetOrders","test_get_order","",""
"","686","Логин с неправильным логином","tests","2025-11-22","passed","2025-11-22","TestLoginCourier","test_courier_login","",""
"","350","Создание курьера с дубликатом логина","tests","2025-11-22","passed","2025-11-22","TestCreateCourier","test_courier_rega","",""
"","610","Логин с неправильным паролем","tests","2025-11-22","passed","2025-11-22","TestLoginCourier","test_courier_login","",""
"","1311","Получение заказов с несуществующим courierId","tests","2025-11-22","passed","2025-11-22","TestGetOrders","test_get_order","",""
"","299","Создание заказа с цветом","tests","2025-11-22","passed","2025-11-22","TestCreateOrder","test_create_order","",""
